transliteration,translation
Šamši-iqbi I,nan
Šamšua I,nan
Šamšya I,nan
Šandalipur I,nan
Šangi-Babili I,nan
Šangi-Marduk I,nan
Šangi-Ninurta I,nan
Šania I,nan
Šanu I,nan
Šaparda I,nan
Šaplatu I,nan
Šaplaya I,nan
Šar-Aššur I,nan
Šar-Issar I,nan
Šar-Nabu-allaka I,nan
Šar-ilani I,nan
Šar-ili I,nan
Šar-warri I,nan
Šara I,nan
Šaranni I,nan
Šargaz I,nan
Šari I,nan
Šaridu I,nan
Šarrahitu I,nan
Šarrani I,nan
Šarrat-Der I,nan
Šarrat-Esaggil I,nan
Šarrat-Nippuri I,nan
Šarrat-nipha I,nan
Šarrat-parakki I,nan
Šarrat-šame I,nan
Šarru I,nan
Šarru-amuranni I,nan
Šarru-duri I,nan
Šarru-emuranni I,nan
Šarru-emuranni II,nan
Šarru-hatti-ipel I,nan
Šarru-ibni I,nan
Šarru-ilaʾi I,nan
Šarru-iqbi I,nan
Šarru-iqbi II,nan
Šarru-isseʾa I,nan
Šarru-ken I,nan
Šarru-kenu-uṣur I,nan
Šarru-kin I,nan
Šarru-lu-dari I,nan
Šarru-metu-uballiṭ I,nan
Šarru-nadin-ahhe I,nan
Šarru-nuri I,nan
Šarru-reʾuʾa I,nan
Šarru-uṣur I,nan
Šarru-šumu-kaʾʾin I,nan
Šarur I,nan
Šaršar I,nan
Šasanaku I,nan
Šattera I,nan
Šaulanu I,nan
Šazabina I,nan
Šazu I,nan
Šaŋanlalukarkara I,nan
Šaši I,nan
Šašma I,nan
Šaššugu I,nan
Šelebu I,nan
Šelubu I,nan
Šeriš I,nan
Šeruru I,nan
Šeruʾa I,nan
Šeruʾa-eṭerat I,nan
Šerʾu I,nan
Šeʾu I,nan
Ši-eše I,nan
Ši-labat I,nan
Šibani I,nan
Šibaniba I,nan
Šibirtu I,nan
Šibqat-Anu I,nan
Šibu I,nan
Šibutu I,nan
Šibṭuru I,nan
Šidada I,nan
Šiddi-hiriti I,nan
Šiddiasika I,nan
Šiduri I,nan
Šiguʾa I,nan
Šihṭu I,nan
Šilamkura I,nan
Šiltahu I,nan
Šimaliya I,nan
Šimanu I,nan
Šimbizi I,nan
Šimkaya I,nan
Šimu I,nan
Šingibutu I,nan
Šinunutu I,nan
Širikti I,nan
Šitabni I,nan
Šitaddaru I,nan
Šitemme-pišunu I,nan
Šišil I,nan
Šišilaya I,nan
Šu-Gula I,nan
ŠuPA I,nan
Šuana I,nan
Šubanuna I,nan
Šubat-Enlil I,nan
Šubi-il I,nan
Šubria I,nan
Šubriaya I,nan
Šubula I,nan
Šuguraya I,nan
Šuhupa I,nan
Šukudu I,nan
Šula I,nan
Šulagubu I,nan
Šulak I,nan
Šulaya I,nan
Šulazida I,nan
Šulgi I,nan
Šullat I,nan
Šullum I,nan
Šullummaya I,nan
Šullumu I,nan
Šulmu-Aya I,nan
Šulmu-Issar I,nan
Šulmu-ahhe I,nan
Šulmu-bel-ašme I,nan
Šulmu-bel-lašme I,nan
Šulmu-beli I,nan
Šulmu-beli-lamur I,nan
Šulmu-beli-lašme I,nan
Šulmu-ereš I,nan
Šulmu-lamur I,nan
Šulmu-mat-Aššur I,nan
Šulmu-mati I,nan
Šulmu-šarri I,nan
Šulmānu I,nan
Šulpae I,nan
Šulpaesua I,nan
Šulpaeutulam I,nan
Šulzidmahana I,nan
Šulšagana I,nan
Šum-iddin I,nan
Šum-ukin I,nan
Šumaliya I,nan
Šumattu I,nan
Šumaya I,nan
Šumma-Adad I,nan
Šumma-Aššur I,nan
Šumma-Iau I,nan
Šumma-Nabu I,nan
Šumma-ahhe I,nan
Šumma-ibašši-kettu I,nan
Šumma-ilani I,nan
Šumma-ilaʾi I,nan
Šumma-ilu I,nan
Šumma-tazib I,nan
Šumma-tašezib I,nan
Šumma-ussezib I,nan
Šumma-šarru I,nan
Šumu-iddina I,nan
Šumu-ken I,nan
Šumu-lešir I,nan
Šumu-libšu I,nan
Šumu-ukin I,nan
Šuni-Teššub I,nan
Šunidu I,nan
Šununa I,nan
Šuqamunu I,nan
Šuraya I,nan
Šuri I,nan
Šuriha-ilaʾi I,nan
Šuru I,nan
Šuruppak I,nan
Šusanqu I,nan
Šuzabarkug I,nan
Šuziana I,nan
Šuzubu I,nan
Šušaba I,nan
Šušinak I,nan
šabiu I,adj. mng. uncert. O/jB of cedar in rit.
šabušatta I,adv. mng. unkn. MA
šadaru II,mng. uncert. jB comm.
šaddattunu I,mng. uncert. NA
šadû IV,"N ""to be rejected"" NB"
šagalmušu I,"""fear""? O/jB"
šagammu I,"""upper door hinge""? O/jB"
šagā I,mng. unkn. NB
šahmu I,mng. unkn. MA/jB
šahurru I,mng. unkn. jB lex.
šahû II,mng. unkn. jB lex.
šahādu I,"""to give, present"" OB G"
šahāru I,mng. unkn. jB lex. G
šahšahhu I,"""slanderer, scandalmonger"" O/jB"
šakadu I,"""heroic"" jB lex."
šakimtu I,mng. unkn. jB lex.
šakin ṭēmūtu I,"""governorship"" NB [LÚ.GAR.UŠ4- ]"
šakkadirru I,"~ ""marten"" jB [dNIN.KILIM.TIR.RA]"
šakurû I,mng. unkn. jB comm.
šakāmu I,"mng. unkn. OB, NB in PNs, jB lex."
šalamtiš I,"""like a corpse"" j/NB"
šalihtu I,mng. uncert. jB
šallatālu I,mng. unkn. jB lex.
šallurānu I,"""noise of wailing""? jB lex."
šamhūtu I,mng. unkn. jB lex.
šamkānu II,mng. unkn. OB topog. desig.
šammaktu I,"mng. unkn. OAkk fPN ?, OB PlN"
šammirānû I,mng. uncert. jB
šammû I,mng. unkn. jB
šammūtu I,mng. unkn. OB math.
šannasru I,mng. unkn. jB lex.
šannā'u I,"""hater"" OB"
šanzātu I,mng. unkn. Am. of jewellery
šapahūtu I,mng. unkn. jB in ina šapahūtika
šappultu I,mng. unkn. jB comm.
šapātu I,"""to be malicious, treacherous"" jB lex. G D"
šapāšu I,mng. unkn. OB lex.
šarbillu I,"""storm"" jB"
šargānu I,"""mighty"" jB lex."
šarāku III,mng. unkn. jB lex.
šarāqu II,"""to be ready""? O/MB G stat. only"
šarāṣu I,"""to clutch, claw onto""? jB lex. G Gt"
šaršarānu II,"""rebel"" NA, NB"
šaršerru I,"""red paste"" jB, NA [IM.SA5]"
šarūriš I,"""with brilliance"" jB"
šassukūtum I,nan
šatammūtu I,"""post of šatammu"" Bab., NA [LÚ.ŠÀ.TAM- ]"
šašrītu I,mng. unkn. jB lex.
šehlu I,"""high water""? Bab. lex."
šemû II,nan
šemûtu I,nan
šepua I,mng. unkn. Nuzi
šeqû I,mng. unkn. Ug. lex.
šergû I,"""adorned""? OAkk"
šerku III,mng. unkn. jB lex. of reeds
šetertu I,mng. unkn. NB agricultural term
šešgallūtu I,"""post of šešgallu"" jB [LÚ.ŠEŠ.GAL- ]"
šeštu I,mng. unkn. OB lex.
ši I,"""of"" OAkk gen. of šu ""he of"""
ši'ši'u I,mng. unkn. NA
šibbu IV,mng. uncert. NB
šibbu V,mng. unkn. jB lex.
šibqātu I,"f. pl. tant. ""plan"" M/NB also in PN"
šidahu I,"~ ""healthy appearance""? O/jB of face, figure"
šiddatu II,mng. unkn. O/jB
šiggû I,mng. unkn. jB
šihru I,"""strap"" Mari, jB"
šiklu I,mng. unkn. Nuzi
šikṣu I,"""ulcer, abscess"" O/jB lex., ext."
šilūtu III,mng. unkn. jB lex. as DN
šimtān I,jB lex. var. of šimtu
šingu I,"~ ""village, farmstead"" j/NB"
šingu II,pl. šingātu mng. uncert. M/NA
šinnu II,mng. unkn. NB
šinnūtu I,mng. unkn. NB
šinātu I,f. pl. mng. uncert. MA for horses
šinšu I,mng. unkn. jB
širhānu I,"""current, flood"" jB lex."
širinnatu I,"""snaffle, horse's bit"" MB, Am., Nuzi"
širrahu I,"""man"" jB lex."
šit'āru I,"""variegated, iridescent"" of eyes O/jB"
šitlû I,mng. unkn. Bogh. lex.
šitmu I,"""log of wood"" Nuzi"
šitqultu I,"jB astr. 1. ""opposition, conjunction""2. ""equinox"" [LÁL- ]"
šitrudu I,mng. unkn. M/jB Gt
šitrû I,nan
šittu I,"""sleep"" Bab. good, bad"
šiu I,"""little""? jB"
šiwiātu I,f. pl. mng. unkn. OB in incantation
šiyû I,"~ ""strength"" jB lex."
šizû I,"""one-third cubit"" OB, jB"
šiāhu II,mng. uncl. NA
šiāš I,"""to her"" OB"
šiššu I,"""silence, stillness"" O/jB"
šiššû I,mng. unkn. OB
šu'ūtu I,mng. unkn. jB lex.
šubarrûtu I,"""release"" O/jB of slave"
šubbuhu I,D mng. uncert. NB
šubāhu I,mng. unkn. jB
šuggudu I,mng. unkn. OB lex.
šugguru I,"""to cheat, lie"" O/jB D , Dt"
šugillu I,mng. unkn. Nuzi
šuh I,"""on the subject of, à propos"" NA"
šuharriš I,"""in silence"" jB"
šuhhiṭṭātu I,mng. unkn. jB comm.
šuhru I,mng. unkn. jB lex.
šuhrû I,"~ ""gleanings""? Mari"
šuhummumu I,"~ ""deathly hush"" jB lex."
šuhurru I,"""porous vessel"" O/jB of pottery"
šuhuru I,mng. unkn. OB lex.
šuinannakku I,nan
šukkammu I,mng. uncert. NB
šukkuptu I,mng. unkn. jB lex.
šukkuṣu I,"""wild""? jB lex."
šukkû I,"D Bogh. lex. 1. ""to cleanse""2. ""to pray""?"
šukunātu I,f. pl. mng. unkn. Bogh. lex.
šul'u I,"""small""? jB lex."
šulilanni I,"~ ""mankind"" jB lex."
šulpu III,mng. uncert. jB om.
šulû II,nan
šumdu I,mng. unkn. jB
šumkū I,"pl. tant. ""onions"" Ass."
šummannu II,mng. unkn. OB mag.
šummannu III,"""gift, present"" jB lex."
šummānu I,"""defect""? Mari"
šunamlullukku I,nan
šundu I,"conj. ""when, while"" Nuzi, jB usu. with subjunct."
šunduru I,mng. unkn. Mari
šunnu I,mng. uncert. O/jB D and Dt
šunû III,mng. unkn. Bogh.
šupluhu I,nan
šuppuhu I,"D ""to incite"" OB"
šupû II,"f. pl. šupêtu ""thick, padded""? NB of cloths"
šupû III,mng. unkn. jB lex.
šupālītu I,"1. ""undergarment"" Am., NA, NB [TÚG.KI.TA]2. jB ""foundation""?"
šurbu I,"""cold"" jB lex."
šurira I,mng. unkn. Nuzi in desig. of sheepskins
šurmû I,"""image"" jB lex."
šurpašamma I,adv.? mng. unkn. Nuzi
šurrumma I,"""indeed, certainly, forthwith"" O/jB, Am., Nuzi, Ug."
šurrû IV,OB D mng. uncert.
šurrû V,adj.? mng. unkn. jB lex.
šurānu II,mng. unkn. Mari
šuršaktu I,mng. unkn. jB lex.
šuršašmu I,"""pomegranate"" jB lex."
šusubbu I,mng. unkn. OB
šutattupu I,"Dt ""to form a partnership"" jB"
šuttu II,"""pit"" jB lex."
šutuhhātu I,f. pl. mng. unkn. OAkk
šuwwuru I,D DRtn
šuwû I,mng. unkn. OB lex.
šuzuta I,mng. uncert. Am. of jewellery
šuš'uru I,"Š ""to make dirty""? jB, statue"
šušerû I,"~ ""chill, frost"" jB lex."
šušrūtu I,mng. unkn. jB lex.
šuššu II,mng. unkn. Mari
šuššû I,"mng. unkn. NB, an offering ?"
šâqu III,"mng. unkn. Bogh., jB lex. G"
šâqu IV,"""to tremble""? jB lex. G"
šâru I,"""to slander"" Am. G D"
šêpu I,"""to stride""? jB lex. G"
šêqu I,"""to level off"" O/jB G grain in measuring-vessel"
šā I,"""the two of"" OAkk, du. of šu."
šā'iru I,"mng. unkn. Am., jB"
šāmarītu I,mng. unkn. jB
šāpinu I,mng. unkn. OAkk
šāru II,"pl. šārūtu/a ""hostile, enemy"" Am."
šāšû I,"confused, disturbed"
šēmu I,"""fat, grease"" jB lex."
šēqu II,adj. mng. uncert. jB pl. of arrow
šēru VI,subst. mng. unkn. jB lex.
šēru VII,subst. mng. unkn. jB lex.
šīhu IV,"~ ""farmstead, estate"" NB"
šīlu II,"""brother"" jB lex."
šītu I,"""reins"" jB lex., for horse"
šīṭu II,mng. unkn. jB lex.
šīṭūtu I,mng. uncert. j/NB
šūdadu I,"""lover"" jB"
šūlu II,"~ ""reed stem"" Nuzi, for arrows"
šūlu III,"""cough"" jB"
šūlû II,"""ordeal""? jB lex."
šūqu II,"~ ""plenty"" jB lex."
šūqu III,mng. unkn. jB lex.
šūqātu I,"mng. uncert. jB om., of shepherd"
šūrišam I,adv.? mng. unkn. jB
šūru VI,"""guarantor""? Nuzi"
šūrû I,"Š ~ ""to teach, instruct""? jB"
šūšī- I,"in 1 šūšīšu ""60 times"" OB"
ūka I,"mng. uncl. Mari, introducing speech"
ūm I,"""one day"" OAkk, MA"
ūqu I,mng. unkn. jB
ūrānu I,"""puppy"" jB lex."
ūṭû I,OB lex. = ūṭānum
Ṣab-Adad I,nan
Ṣabatti I,nan
Ṣabbutanu I,nan
Ṣabu-damqu I,nan
Ṣadduru I,nan
Ṣaiadu I,nan
Ṣala-il I,nan
Ṣalam-ahhe I,nan
Ṣalam-šarri-iqbi I,nan
Ṣalamu I,nan
Ṣalbatanu I,nan
Ṣalimtu I,nan
Ṣallam-šarri-iqbi I,nan
Ṣallaya I,nan
Ṣalli-ibši I,nan
Ṣalmu I,nan
Ṣalmuti I,nan
Ṣan-Ṣaruru I,nan
Ṣanṣuru I,nan
Ṣapanu I,nan
Ṣaṣu I,nan
Ṣi-hu I,nan
Ṣibtu I,nan
Ṣidqa I,nan
Ṣidqi I,nan
Ṣidqi-il I,nan
Ṣidunaya I,nan
Ṣil-Adad I,nan
Ṣil-Aššur I,nan
Ṣil-Aššur-allak I,nan
Ṣil-Bel I,nan
Ṣil-Issar I,nan
Ṣil-Mullissu I,nan
Ṣil-Nabu I,nan
Ṣil-Sin I,nan
Ṣil-Šamaš I,nan
Ṣil-šarri I,nan
Ṣillaya I,nan
Ṣilli-bani I,nan
Ṣilluš-ṭab I,nan
Ṣimirra I,nan
Ṣimirraya I,nan
Ṣiri I,nan
Ṣirina I,nan
Ṣule-tašme I,nan
Ṣule-tašmu I,nan
Ṣululu I,nan
Ṣupat I,nan
Ṣurriya I,nan
Ṣurru I,nan
Ṣuṣa I,nan
Ṣuṣi I,nan
ṣadīdu I,"""antimony"" jB, NA"
ṣahātu II,"""to wish, desire"" NA G ""want"" field"
ṣalbatānu I,"""planet Mars"" M/NB, NA"
ṣallummû I,"~ ""comet"" jB lex., astr."
ṣappuhu I,"D ""to squeeze out"" NA"
ṣapānu I,"""to shelter, recover, rescue"" Am. G"
ṣarrāpu I,goldsmith
ṣarāru II,"""to pack up"" OB Š ""have packed"" clothes"
ṣarṣa'tu I,mng. unkn. jB lex.
ṣarṣartu I,"""forest, wood"" jB lex."
ṣawwû I,"D ""to speak""? OA"
ṣawāru I,"""neck"" OAkk"
ṣayyattu I,mng. unkn. NB
ṣe'pu I,"pl. f. ""sealed letter"" OB"
ṣehhu I,"~ ""battle fury""? jB"
ṣerriš I,mng. unkn. jB lex.
ṣi'ûtu I,mng. unkn. jB lex.
ṣibatannūtu I,"~ ""fief, land-holding""? MB"
ṣibāru II,"~ ""sparrow"" O/jB lex."
ṣimratum I,nan
ṣinnarbubtu I,"""reed node"" Bogh., jB"
ṣubabû I,"""conifer bud"" O/jB"
ṣubītu I,"NB 1. ""dyed wool""2. ""irrigation, soaking"""
ṣuhhuriš I,adv. to ṣehēru D or ṣuhhuru ? OB
ṣunnu I,mng. unkn. jB lex.
ṣuppu III,"""white sheep"""
ṣurru IV,"D ""to exalt"" OB"
ṣurruhu II,"D ~ ""to build high"" jB"
ṣuṣû I,"""reed-thicket"" O/jB"
ṣê'u I,"~ ""to repulse"" O/jB, NA G horses, chariots"
ṣūru I,"""cliff, rock"" OB"
Ṭabunu I,nan
Ṭabussu I,nan
Ṭebetu I,nan
Ṭudi I,nan
Ṭuduti I,nan
Ṭuki I,nan
Ṭunbaun I,nan
Ṭupšar-Ellil-dari I,nan
Ṭuri I,nan
Ṭuri-baltu I,nan
Ṭurušpa I,nan
Ṭusi I,nan
ṭabbihu I,"""butcher"" MB for ṭābihu"
ṭapāšu II,"~ ""to be fat"" jB G stat."
ṭarāru I,"""to be bearded"" jB G stat."
ṭarāšu I,mng. unkn. jB lex. G
ṭimûtu I,nan
ṭullumu I,"D ""to do injustice""? OB"
ṭummumu I,"""deaf"" O/jB lex."
ṭupu I,mng. unkn. jB med. in desig. of plant
ṭurpu I,"""forcible removal, seizure"" MB"
ṭūbtu I,"1. M/NB ""peace""2. jB med. ""sedative"""
